"FUNCAO","STATUS","Dialect","30","40","55","56","57","80","84"
"->","OK","NOK","N","N","N","S","S","S","S"
"->>","OK","NOK","N","N","N","S","S","S","N"
"ABS","OK","NOK","S","S","S","S","S","S","N"
"ACOS","OK","OK","S","S","S","S","S","S","S"
"ADDDATE","OK","NOK","S","S","S","S","S","S","N"
"ADDTIME","OK","OK","S","S","S","S","S","S","S"
"AES_DECRYPT","OK","OK","S","S","S","S","S","S","N"
"AES_ENCRYPT","OK","OK","S","S","S","S","S","S","S"
"ANY_VALUE","OK","NOK","N","N","N","S","S","S","S"
"ASCII","OK","NOK","S","S","S","S","S","S","N"
"ASIN","OK","OK","S","S","S","S","S","S","S"
"ATAN","OK","OK","S","S","S","S","S","S","S"
"ATAN2","OK","NOK","S","S","S","S","S","S","N"
"AVG","OK","OK","S","S","S","S","S","S","S"
"BIN","OK","NOK","S","S","S","S","S","S","N"
"BIN_TO_UUID","OK","NOK","N","N","N","N","N","S","S"
"BIT_AND","OK","OK","S","S","S","S","S","S","S"
"BIT_COUNT","OK","NOK","S","S","S","S","S","S","N"
"BIT_LENGTH","OK","OK","S","S","S","S","S","S","S"
"BIT_OR","OK","NOK","S","S","S","S","S","S","N"
"BIT_XOR","OK","OK","S","S","S","S","S","S","S"
"CAST","OK","NOK","S","S","S","S","S","S","N"
"CEIL","OK","OK","S","S","S","S","S","S","S"
"CEILING","OK","NOK","S","S","S","S","S","S","N"
"CHAR","OK","OK","S","S","S","S","S","S","S"
"CHAR_LENGTH","OK","NOK","S","S","S","S","S","S","N"
"CHARACTER_LENGTH","OK","OK","S","S","S","S","S","S","S"
"CHARSET","OK","NOK","S","S","S","S","S","S","N"
"COALESCE","OK","OK","S","S","S","S","S","S","S"
"COERCIBILITY","OK","NOK","S","S","S","S","S","S","N"
"COLLATION","OK","OK","S","S","S","S","S","S","S"
"COMPRESS","OK","OK","S","S","S","S","S","S","N"
"CONCAT","OK","OK","S","S","S","S","S","S","S"
"CONCAT_WS","OK","NOK","S","S","S","S","S","S","N"
"CONNECTION_ID","OK","OK","S","S","S","S","S","S","S"
"CONV","OK","NOK","S","S","S","S","S","S","N"
"CONVERT","OK","OK","S","S","S","S","S","S","S"
"CONVERT_TZ","OK","NOK","S","S","S","S","S","S","N"
"COS","OK","OK","S","S","S","S","S","S","S"
"COT","OK","NOK","S","S","S","S","S","S","N"
"COUNT","OK","OK","S","S","S","S","S","S","S"
"CRC32","OK","OK","S","S","S","S","S","S","S"
"CUME_DIST","OK","NOK","N","N","N","N","N","S","N"
"CURDATE","OK","OK","S","S","S","S","S","S","S"
"CURRENT_DATE","OK","NOK","S","S","S","S","S","S","N"
"CURRENT_TIME","OK","NOK","S","S","S","S","S","S","N"
"CURRENT_TIMESTAMP","OK","OK","S","S","S","S","S","S","S"
"CURRENT_USER","OK","NOK","S","S","S","S","S","S","N"
"CURTIME","OK","OK","S","S","S","S","S","S","S"
"DATABASE","OK","NOK","S","S","S","S","S","S","N"
"DATE","OK","OK","S","S","S","S","S","S","S"
"DATE_ADD","OK","NOK","S","S","S","S","S","S","N"
"DATE_FORMAT","OK","OK","S","S","S","S","S","S","S"
"DATE_SUB","OK","NOK","S","S","S","S","S","S","N"
"DATEDIFF","OK","OK","S","S","S","S","S","S","S"
"DAY","OK","NOK","S","S","S","S","S","S","N"
"DAYNAME","OK","OK","S","S","S","S","S","S","S"
"DAYOFMONTH","OK","NOK","S","S","S","S","S","S","N"
"DAYOFWEEK","OK","OK","S","S","S","S","S","S","S"
"DAYOFYEAR","OK","NOK","S","S","S","S","S","S","N"
"DECODE","OK","OK","S","S","S","S","S","N","N"
"DEFAULT","OK","OK","S","S","S","S","S","S","S"
"DEGREES","OK","NOK","S","S","S","S","S","S","N"
"DENSE_RANK","OK","NOK","N","N","N","N","N","S","S"
"DES_DECRYPT","OK","OK","S","S","S","S","S","N","N"
"DES_ENCRYPT","OK","OK","S","S","S","S","S","N","N"
"ELT","OK","OK","S","S","S","S","S","S","S"
"ENCODE","OK","OK","S","S","S","S","S","N","N"
"ENCRYPT","OK","OK","S","S","S","S","S","N","N"
"EXISTS","OK","NOK","N","N","N","S","S","S","N"
"EXP","OK","OK","S","S","S","S","S","S","S"
"EXPORT_SET","OK","NOK","S","S","S","S","S","S","N"
"EXTRACT","OK","OK","S","S","S","S","S","S","S"
"EXTRACTVALUE","OK","OK","S","S","S","S","S","S","N"
"FIELD","OK","OK","S","S","S","S","S","S","S"
"FIND_IN_SET","OK","NOK","S","S","S","S","S","S","N"
"FIRST_VALUE","OK","NOK","N","N","N","N","N","S","S"
"FLOOR","OK","NOK","S","S","S","S","S","S","N"
"FORMAT","OK","OK","S","S","S","S","S","S","S"
"FORMAT_BYTES","OK","OK","N","N","N","N","N","S","N"
"FORMAT_PICO_TIME","OK","OK","N","N","N","N","N","S","S"
"FOUND_ROWS","OK","NOK","S","S","S","S","S","S","N"
"FROM_BASE64","OK","NOK","N","N","N","S","S","S","S"
"FROM_DAYS","OK","NOK","S","S","S","S","S","S","N"
"FROM_UNIXTIME","OK","OK","S","S","S","S","S","S","S"
"GET_FORMAT","OK","OK","S","S","S","S","S","S","S"
"GREATEST","OK","OK","S","S","S","S","S","S","S"
"GROUP_CONCAT","OK","NOK","S","S","S","S","S","S","N"
"GROUPING","OK","OK","N","N","N","N","N","S","S"
"HEX","OK","OK","S","S","S","S","S","S","N"
"HOUR","OK","OK","S","S","S","S","S","S","S"
"IF","OK","OK","S","S","S","S","S","S","S"
"IFNULL","OK","NOK","S","S","S","S","S","S","N"
"INET_ATON","OK","NOK","S","S","S","S","S","S","N"
"INET_NTOA","OK","OK","S","S","S","S","S","S","S"
"INET6_ATON","OK","NOK","N","N","N","S","S","S","N"
"INET6_NTOA","OK","NOK","N","N","N","S","S","S","N"
"INSERT","OK","NOK","S","S","S","S","S","S","N"
"INSTR","OK","OK","S","S","S","S","S","S","S"
"INTERVAL","OK","NOK","S","S","S","S","S","S","N"
"IS NOT","OK","OK","N","N","N","S","S","S","S"
"IS NOT NULL","OK","NOK","N","N","N","S","S","S","N"
"IS NULL","OK","NOK","N","N","N","S","S","S","S"
"IS_IPV4","OK","NOK","N","N","N","S","S","S","N"
"IS_IPV4_COMPAT","OK","NOK","N","N","N","S","S","S","N"
"IS_IPV4_MAPPED","OK","NOK","N","N","N","S","S","S","N"
"IS_IPV6","OK","NOK","N","N","N","S","S","S","N"
"IS_UUID","OK","NOK","N","N","N","N","N","S","S"
"ISNULL","OK","NOK","S","S","S","S","S","S","N"
"JSON_APPEND","OK","OK","N","N","N","S","S","N","N"
"JSON_ARRAY","OK","NOK","N","N","N","S","S","S","S"
"JSON_ARRAY_APPEND","OK","OK","N","N","N","S","S","S","N"
"JSON_ARRAY_INSERT","OK","OK","N","N","N","S","S","S","S"
"JSON_ARRAYAGG","OK","NOK","N","N","N","S","S","S","N"
"JSON_CONTAINS","OK","NOK","N","N","N","S","S","S","S"
"JSON_CONTAINS_PATH","OK","NOK","N","N","N","S","S","S","N"
"JSON_DEPTH","OK","NOK","N","N","N","S","S","S","S"
"JSON_EXTRACT","OK","NOK","N","N","N","S","S","S","N"
"JSON_INSERT","OK","NOK","N","N","N","S","S","S","S"
"JSON_KEYS","OK","NOK","N","N","N","S","S","S","N"
"JSON_LENGTH","OK","NOK","N","N","N","S","S","S","S"
"JSON_MERGE","OK","OK","N","N","N","S","S","S","N"
"JSON_MERGE_PATCH","OK","OK","N","N","N","S","S","S","S"
"JSON_MERGE_PRESERVE","OK","OK","N","N","N","S","S","S","N"
"JSON_OBJECT","OK","NOK","N","N","N","S","S","S","S"
"JSON_OBJECTAGG","OK","OK","N","N","N","S","S","S","N"
"JSON_OVERLAPS","OK","OK","N","N","N","N","N","S","S"
"JSON_PRETTY","OK","NOK","N","N","N","S","S","S","N"
"JSON_QUOTE","OK","NOK","N","N","N","S","S","S","S"
"JSON_REMOVE","OK","NOK","N","N","N","S","S","S","N"
"JSON_REPLACE","OK","NOK","N","N","N","S","S","S","S"
"JSON_SEARCH","OK","NOK","N","N","N","S","S","S","N"
"JSON_SET","OK","NOK","N","N","N","S","S","S","S"
"JSON_STORAGE_SIZE","OK","OK","N","N","N","S","S","S","S"
"JSON_TABLE","OK","NOK","N","N","N","N","N","S","N"
"JSON_TYPE","OK","NOK","N","N","N","S","S","S","S"
"JSON_UNQUOTE","OK","NOK","N","N","N","S","S","S","N"
"JSON_VALID","OK","NOK","N","N","N","S","S","S","S"
"JSON_VALUE","OK","NOK","N","N","N","N","N","S","N"
"LAG","OK","NOK","N","N","N","N","N","S","S"
"LAST_DAY","OK","NOK","S","S","S","S","S","S","N"
"LAST_INSERT_ID","OK","OK","S","S","S","S","S","S","S"
"LAST_VALUE","OK","NOK","N","N","N","N","N","S","N"
"LCASE","OK","OK","S","S","S","S","S","S","S"
"LEAD","OK","NOK","N","N","N","N","N","S","N"
"LEAST","OK","OK","S","S","S","S","S","S","S"
"LEFT","OK","NOK","S","S","S","S","S","S","N"
"LENGTH","OK","OK","S","S","S","S","S","S","S"
"LN","OK","NOK","S","S","S","S","S","S","N"
"LOCALTIME","OK","NOK","S","S","S","S","S","S","N"
"LOCALTIMESTAMP","OK","OK","S","S","S","S","S","S","S"
"LOCATE","OK","NOK","S","S","S","S","S","S","N"
"LOG","OK","OK","S","S","S","S","S","S","S"
"LOG10","OK","NOK","S","S","S","S","S","S","N"
"LOG2","OK","OK","S","S","S","S","S","S","S"
"LOWER","OK","NOK","S","S","S","S","S","S","N"
"LPAD","OK","OK","S","S","S","S","S","S","S"
"LTRIM","OK","NOK","S","S","S","S","S","S","N"
"MAKE_SET","OK","OK","S","S","S","S","S","S","S"
"MAKEDATE","OK","NOK","S","S","S","S","S","S","N"
"MAKETIME","OK","OK","S","S","S","S","S","S","S"
"MAX","OK","NOK","S","S","S","S","S","S","N"
"MD5","OK","NOK","S","S","S","S","S","S","N"
